Flow In,Flow Out,Efficiency,Longest Wait,Total Wait,0,1,2,3,4,5,6,7,8
56,43,76.786,210.049,4411,56,56,14,14,42,29,29,43,0
49,49,100.0,0.0,0,49,49,11,11,38,38,38,49,0
45,45,100.0,0.0,0,45,45,12,12,33,33,33,45,0
40,40,100.0,0.0,0,40,40,11,11,29,29,29,40,0
62,62,100.0,0.0,0,62,62,18,18,44,44,44,62,0
49,38,77.551,138.533,2973,49,42,7,7,35,31,31,38,0
48,43,89.583,75.269,1355,48,48,12,12,36,31,31,43,0
52,48,92.308,53.451,1042,52,52,13,13,39,35,35,48,0
50,50,100.0,150.0,1200,50,50,16,4,34,34,34,38,12
49,42,85.714,96.413,1976,49,49,8,8,41,34,34,42,0
45,43,95.556,31.0,496,45,45,13,13,32,30,30,43,0
46,46,100.0,0.0,0,46,46,8,8,38,38,38,46,0
34,33,97.059,17.143,240,34,34,6,6,28,27,27,33,0
63,54,85.714,80.877,2351,63,56,11,11,45,43,43,54,0
59,47,79.661,165.729,3812,59,59,13,13,46,34,34,47,0
41,41,100.0,0.0,0,41,41,8,8,33,33,33,41,0
48,41,85.417,105.535,2005,48,48,10,10,38,31,31,41,0
55,51,92.727,50.626,1038,55,55,14,14,41,37,37,51,0
43,43,100.0,0.0,0,43,43,10,10,33,33,33,43,0
45,45,100.0,0.0,0,45,45,6,6,39,39,39,45,0
66,49,74.242,176.119,4746,66,57,12,12,45,37,37,49,0
53,49,92.453,204.545,2684,53,53,16,3,37,33,33,36,13
46,45,97.826,12.973,240,46,46,9,9,37,36,36,45,0
42,42,100.0,0.0,0,42,42,10,10,32,32,32,42,0
52,48,92.308,48.086,1034,52,52,9,9,43,39,39,48,0
60,50,83.333,115.132,2762,60,58,12,12,46,38,38,50,0
44,44,100.0,0.0,0,44,44,12,12,32,32,32,44,0
46,46,100.0,0.0,0,46,46,13,13,33,33,33,46,0
56,53,94.643,34.324,755,56,56,12,12,44,41,41,53,0
