Flow In,Flow Out,Efficiency,Longest Wait,Total Wait
53,50,94.34,36.0,756
53,47,88.679,63.372,1542
48,41,85.417,81.951,1926
57,51,89.474,73.846,1625
52,47,90.385,63.158,1326
59,59,100.0,0.0,0
48,48,100.0,0.0,0
50,48,96.0,23.415,492
59,49,83.051,104.49,2616
47,44,93.617,32.727,753
55,43,78.182,169.412,3812
41,41,100.0,0.0,0
57,45,78.947,160.0,3632
39,39,100.0,0.0,0
48,48,100.0,0.0,0
43,43,100.0,0.0,0
54,47,87.037,90.811,1952
54,46,85.185,83.478,2212
50,48,96.0,24.615,492
56,47,83.929,123.429,2654
43,40,93.023,130.909,851
47,38,80.851,148.966,2756
50,47,94.0,30.638,751
48,45,93.75,41.143,761
52,52,100.0,0.0,0
50,41,82.0,135.0,2700
52,47,90.385,51.064,1302
46,43,93.478,34.633,731
54,51,94.444,36.0,756
48,46,95.833,68.571,514
49,42,85.714,98.824,1976
51,50,98.039,36.923,240
48,41,85.417,336.0,2688
50,50,100.0,0.0,0
43,43,100.0,0.0,0
49,45,91.837,53.333,1040
43,43,100.0,0.0,0
51,42,82.353,104.0,2412
53,49,92.453,42.019,989
42,42,100.0,0.0,0
46,46,100.0,0.0,0
52,44,84.615,110.649,2149
48,46,95.833,20.87,490
43,43,100.0,0.0,0
44,42,95.455,22.857,491
49,47,95.918,26.667,493
54,49,90.741,48.98,1298
45,45,100.0,0.0,0
46,41,89.13,58.537,1317
58,52,89.655,69.231,1560
49,46,93.878,33.843,730
42,42,100.0,0.0,0
46,40,86.957,72.0,1620
57,48,84.211,116.0,2458
56,50,89.286,64.346,1511
45,45,100.0,0.0,0
41,41,100.0,0.0,0
49,44,89.796,240.0,1680
53,43,81.132,141.176,3035
53,53,100.0,0.0,0
52,48,92.308,50.526,1036
52,43,82.692,120.0,2640
52,48,92.308,50.526,1036
51,45,88.235,82.286,1646
46,46,100.0,0.0,0
54,48,88.889,73.846,1559
52,49,94.231,42.353,762
54,53,98.148,11.429,240
53,40,75.472,183.529,4221
54,45,83.333,127.059,2668
55,52,94.545,36.923,757
57,45,78.947,213.333,3573
48,45,93.75,130.909,851
46,46,100.0,0.0,0
50,44,88.0,240.0,2040
53,50,94.34,33.6,732
49,49,100.0,0.0,0
45,45,100.0,0.0,0
52,48,92.308,54.857,1042
45,45,100.0,0.0,0
44,44,100.0,0.0,0
57,48,84.211,218.182,2674
47,46,97.872,40.0,240
46,42,91.304,45.714,1029
49,48,97.959,10.0,240
58,42,72.414,219.429,5486
49,45,91.837,42.667,1024
49,48,97.959,12.0,240
44,44,100.0,0.0,0
56,49,87.5,72.672,1772
49,44,89.796,150.0,1500
47,45,95.745,68.571,514
59,48,81.356,142.703,3354
52,49,94.231,34.286,754
49,46,93.878,35.122,755
46,45,97.826,14.545,240
52,46,88.462,67.002,1515
57,45,78.947,147.692,3522
48,48,100.0,0.0,0
45,39,86.667,288.0,2160
52,49,94.231,29.388,749
56,54,96.429,17.778,489
49,36,73.469,240.0,4560
49,49,100.0,0.0,0
45,44,97.778,10.909,240
52,49,94.231,29.388,749
49,44,89.796,75.0,1350
53,52,98.113,9.231,240
48,44,91.667,50.526,1036
47,47,100.0,0.0,0
51,45,88.235,64.0,1600
47,47,100.0,0.0,0
50,47,94.0,43.636,764
